cod,nombre,prov,reg,sup,pobl,dens,idh
4105,Paihuano,Elqui,Coquimbo,1495.0,4252,2.8,734.0
4106,Vicuña,Elqui,Coquimbo,7610.0,26029,3.2,716.0
4201,Illapel,Choapa,Coquimbo,2629.0,30598,11.6,667.0
4202,Canela,Choapa,Coquimbo,2196.6,9182,4.2,644.0
4203,Los Vilos,Choapa,Coquimbo,1823.8,18483,9.6,675.0
4204,Salamanca,Choapa,Coquimbo,3445.0,25671,7.1,676.0
4301,Ovalle,Limarí,Coquimbo,3835.0,112956,28.1,725.0
4302,Combarbalá,Limarí,Coquimbo,2257.5,13818,7.7,661.0
4303,Monte Patria,Limarí,Coquimbo,4366.9,30137,6.9,653.0
4304,Punitaqui,Limarí,Coquimbo,1339.0,10418,7.1,653.0
4305,Río Hurtado,Limarí,Coquimbo,2180.0,4149,1.9,653.0
5101,Valparaíso,Valparaíso,Valparaíso,401.6,308137,687.2,701.0
5102,Casablanca,Valparaíso,Valparaíso,953.0,25165,22.9,712.0
5103,Concón,Valparaíso,Valparaíso,76.0,63210,424.6,781.0
5104,Juan Fernández,Valparaíso,Valparaíso,149.4,792,4.0,744.0
5105,Puchuncaví,Valparaíso,Valparaíso,300.0,16371,43.1,734.0
5107,Quintero,Valparaíso,Valparaíso,148.0,28066,143.5,733.0
5109,Viña del Mar,Valparaíso,Valparaíso,121.6,311399,2560.8,766.0
5201,Isla de Pascua,Isla de Pascua,Valparaíso,163.6,5761,23.1,715.0
5301,Los Andes,Los Andes,Valparaíso,1248.0,110866,48.2,756.0
5302,Calle Larga,Los Andes,Valparaíso,321.7,11110,34.3,706.0
5303,Rinconada,Los Andes,Valparaíso,122.5,8097,63.8,691.0
5304,San Esteban,Los Andes,Valparaíso,681.0,17371,12.5,732.0
5401,La Ligua,Petorca,Valparaíso,1163.0,38524,27.5,708.0
5402,Cabildo,Petorca,Valparaíso,1455.0,21094,13.0,671.0
5403,Papudo,Petorca,Valparaíso,64.2,5643,71.7,734.0
5404,Petorca,Petorca,Valparaíso,11.6,10074,390.5,696.0
5405,Zapallar,Petorca,Valparaíso,288.0,6726,22.1,743.0
5501,Quillota,Quillota,Valparaíso,302.0,88803,288.5,726.0
5502,La Calera,Quillota,Valparaíso,60.5,55207,830.0,0.7
5503,Hijuelas,Quillota,Valparaíso,267.0,19132,71.6,672.0
5504,La Cruz,Quillota,Valparaíso,78.0,17346,164.3,763.0
5506,Nogales,Quillota,Valparaíso,405.0,26385,53.3,689.0
5601,San Antonio,San Antonio,Valparaíso,405.0,87697,215.3,697.0
5602,Algarrobo,San Antonio,Valparaíso,176.0,13472,48.9,722.0
5603,Cartagena,San Antonio,Valparaíso,246.0,17029,68.6,708.0
5604,El Quisco,San Antonio,Valparaíso,51.0,15829,185.6,745.0
5605,El Tabo,San Antonio,Valparaíso,99.0,11861,71.0,747.0
5606,Santo Domingo,San Antonio,Valparaíso,536.0,9205,34.5,751.0
5701,San Felipe,San Felipe de Aconcagua,Valparaíso,186.0,72121,344.9,0.73
5702,Catemu,San Felipe de Aconcagua,Valparaíso,361.6,13902,33.5,669.0
5703,Llaillay,San Felipe de Aconcagua,Valparaíso,349.1,23680,62.0,676.0
5704,Panquehue,San Felipe de Aconcagua,Valparaíso,121.9,7569,53.8,696.0
5705,Putaendo,San Felipe de Aconcagua,Valparaíso,7.68,17369,1938.8,674.0
5706,Santa María,San Felipe de Aconcagua,Valparaíso,166.3,14504,9.2,699.0
5801,Quilpué,Marga Marga,Valparaíso,537.0,162320,280.7,752.0
5802,Limache,Marga Marga,Valparaíso,294.0,45864,133.4,722.0
5803,Olmué,Marga Marga,Valparaíso,232.0,16243,70.5,701.0
5804,Villa Alemana,Marga Marga,Valparaíso,97.0,135368,1225.6,755.0
6101,Rancagua,Cachapoal,Lib. Gral. Bernardo O'Higgins,260.3,250638,823.4,732.0
6102,Codegua,Cachapoal,Lib. Gral. Bernardo O'Higgins,287.0,12725,37.6,706.0
6103,Coinco,Cachapoal,Lib. Gral. Bernardo O'Higgins,98.0,7248,65.1,678.0
6104,Coltauco,Cachapoal,Lib. Gral. Bernardo O'Higgins,225.0,17620,72.1,644.0
6105,Doñihue,Cachapoal,Lib. Gral. Bernardo O'Higgins,78.0,21023,86.7,685.0
6106,Graneros,Cachapoal,Lib. Gral. Bernardo O'Higgins,113.0,30372,252.2,691.0
6107,Las Cabras,Cachapoal,Lib. Gral. Bernardo O'Higgins,749.0,23857,27.0,661.0
6108,Machalí,Cachapoal,Lib. Gral. Bernardo O'Higgins,2597.0,44566,11.1,0.73
6109,Malloa,Cachapoal,Lib. Gral. Bernardo O'Higgins,113.0,14972,113.9,649.0
6110,Mostazal,Cachapoal,Lib. Gral. Bernardo O'Higgins,524.0,23430,44.7,691.0
6111,Olivar,Cachapoal,Lib. Gral. Bernardo O'Higgins,45.0,13483,256.5,661.0
6112,Peumo,Cachapoal,Lib. Gral. Bernardo O'Higgins,153.1,14158,92.1,674.0
6113,Pichidegua,Cachapoal,Lib. Gral. Bernardo O'Higgins,320.0,18637,55.5,652.0
6114,Quinta de Tilcoco,Cachapoal,Lib. Gral. Bernardo O'Higgins,93.0,12144,122.4,678.0
6115,Rengo,Cachapoal,Lib. Gral. Bernardo O'Higgins,755.0,56188,66.8,0.68
